timestamp,pos_x,pos_y,pos_z,orient_x,orient_y,orient_z,orient_w,linear_x,linear_y,linear_z,angular_x,angular_y,angular_z
95.752,2.061695795,2.825971005,-17.20245131,-0.002258161,0.00320076,0.273279398,0.961926726,0.215634552,0.008406884,0.442822683,0.025345279,0.079814378,1.035177289
95.802,2.072380065,2.826632194,-17.18028742,-0.000971842,0.005207779,0.299216084,0.954170671,0.21166122,0.017423087,0.443282452,0.028203726,0.099852017,1.126527239
95.852,2.082832871,2.827703504,-17.15814197,-3.03E-05,0.007176571,0.327067458,0.944973742,0.206495608,0.024871998,0.442569396,0.007184839,0.073553544,1.214664324
95.902,2.093073641,2.829169064,-17.13602519,8.79E-05,0.008144104,0.35604596,0.934432951,0.204502297,0.034391051,0.442254919,-4.85E-06,0.004026219,1.231018514
95.952,2.103367976,2.831235248,-17.11390117,-0.000353691,0.007126423,0.384193953,0.923224835,0.207610569,0.048128065,0.442841985,0.016615218,-0.079497207,1.194038265
96.002,2.113848816,2.834034978,-17.09174296,-0.001066524,0.004348574,0.411247277,0.911512825,0.211163708,0.063421575,0.443228457,0.028025927,-0.13041224,1.168539167
96.052,2.12445431,2.837626624,-17.06958992,-0.001946683,0.000994843,0.437565903,0.899183686,0.212591038,0.079725673,0.442881994,0.024467214,-0.126779887,1.161123504
96.102,2.135099684,2.842065974,-17.04745108,-0.002653659,-0.001602369,0.46329861,0.886196811,0.213367954,0.09753223,0.442781747,0.01567357,-0.076374377,1.139370895
96.152,2.145780579,2.847442392,-17.02530132,-0.002786371,-0.002614469,0.487988918,0.872841461,0.213497016,0.116819274,0.443289681,0.005448451,0.004043589,1.111500034
96.202,2.156390005,2.853787235,-17.0031362,-0.002183497,-0.001581573,0.511510787,0.859272626,0.210225661,0.136129067,0.442931246,-0.013974782,0.087087451,1.049448615
96.252,2.166736877,2.861090067,-16.98103857,-0.001231854,0.001185973,0.53288229,0.846187651,0.203730799,0.155337251,0.440921337,-0.036888513,0.13340202,0.964498508
96.302,2.176745291,2.869328512,-16.95907343,-0.000562535,0.004537253,0.552774143,0.833318573,0.196940456,0.172459306,0.437395353,-0.062237355,0.111755424,0.949829425
96.352,2.186414545,2.878283516,-16.93732671,-0.001207883,0.007136095,0.572950916,0.819557725,0.190007632,0.184688711,0.432678616,-0.082984067,0.039368255,1.008071525
96.402,2.195714727,2.887789478,-16.91580117,-0.00300629,0.008267624,0.594157006,0.804300977,0.182112849,0.194998603,0.428817226,-0.070043678,-0.030888276,1.079290937
96.452,2.20459049,2.897784715,-16.89441982,-0.005071156,0.007813539,0.616329539,0.787433255,0.173124257,0.204177406,0.42680942,-0.02895629,-0.071569403,1.148335722
96.502,2.212995448,2.908191471,-16.873105,-0.006569405,0.006209367,0.639362038,0.768852698,0.1633566,0.211447205,0.425893601,0.017521393,-0.076622292,1.21770852
96.552,2.220897819,2.918902995,-16.85182236,-0.00713663,0.004155612,0.663115672,0.748471378,0.153094547,0.216398818,0.425555187,0.048375118,-0.052264085,1.284267926
96.602,2.228274599,2.929813487,-16.83053756,-0.006730983,0.002455935,0.687301014,0.726337373,0.142115196,0.220149457,0.425946966,0.058888909,-0.004743639,1.328315559
96.652,2.235058367,2.94095142,-16.80921433,-0.005284217,0.00169801,0.711134158,0.703034426,0.129543853,0.225240472,0.427041963,0.055306357,0.054866649,1.335550098
96.702,2.241184988,2.952349955,-16.78786754,-0.003259903,0.001963034,0.734198501,0.678924208,0.115925991,0.230449892,0.426195385,0.035001073,0.075518578,1.332921486
96.752,2.246614574,2.963986106,-16.76662051,-0.001794402,0.002584137,0.756427823,0.654069607,0.10176394,0.234520718,0.423857733,0.005624502,0.051082378,1.336156702
96.802,2.251354537,2.9758404,-16.74547811,-0.001424587,0.003070094,0.777627266,0.628716455,0.088713382,0.2402256,0.422009878,-0.008558058,0.003219906,1.296686728
96.852,2.255465954,2.98806225,-16.72440795,-0.002062921,0.002804602,0.797141631,0.603782328,0.076114702,0.24845029,0.421022688,-0.003301391,-0.042141619,1.243056023
96.902,2.258920539,3.000709913,-16.70336041,-0.00317713,0.001911262,0.815176787,0.579200362,0.062369264,0.256680307,0.420993694,0.004066676,-0.057124337,1.18675692
96.952,2.261655221,3.013700896,-16.68230419,-0.004239315,0.001026845,0.831198753,0.555958278,0.047317739,0.262978886,0.421260131,0.00183188,-0.041414855,1.081196222
97.002,2.263632924,3.027011521,-16.6612671,-0.004929566,0.00039943,0.845544097,0.533882683,0.032910451,0.268797118,0.41966783,0.003802421,-0.033286327,1.044050063
97.052,2.264942604,3.040555539,-16.64036573,-0.005623591,-0.000309975,0.859317262,0.511411891,0.020006781,0.272520812,0.416570523,0.004469533,-0.034205771,1.068663936
97.102,2.265599801,3.054245824,-16.61960427,-0.006138725,-0.000816327,0.872873379,0.487907485,0.006674215,0.274844202,0.414171354,-0.002355376,-0.014049233,1.098149454
97.152,2.265562294,3.068032705,-16.59893464,-0.006124064,-0.000781116,0.886057758,0.463533748,-0.007812826,0.276470388,0.412838545,-0.012689798,0.021419947,1.117969234
97.202,2.264789398,3.081870703,-16.57833101,-0.005516338,-0.000177686,0.898844564,0.438232801,-0.022289505,0.276619898,0.411049428,-0.018560096,0.041145291,1.152946364
97.252,2.263314338,3.095655614,-16.55784141,-0.004816111,0.000500167,0.911347421,0.411609564,-0.036067527,0.274507162,0.408737049,-0.017394601,0.036244435,1.198489652
97.302,2.261159634,3.109286656,-16.53746906,-0.004343946,0.000957666,0.923431276,0.38373805,-0.049635181,0.270711745,0.406026919,-0.008349544,0.017645824,1.22352746
97.352,2.258319362,3.122703725,-16.51725452,-0.004234459,0.000879353,0.934734996,0.355319269,-0.063548522,0.266059077,0.402707607,0.007833933,-0.00307502,1.219873997
97.402,2.254784497,3.135864245,-16.49718886,-0.004366907,0.000362537,0.945140832,0.32663375,-0.077031728,0.260306944,0.400300986,0.015165262,-0.013926961,1.227184361
97.452,2.250606939,3.148694729,-16.47720081,-0.004612281,-0.000161673,0.954807157,0.297190164,-0.089382803,0.252957629,0.399506429,0.005739879,-0.012255386,1.25305046
97.502,2.245836931,3.16112005,-16.45725478,-0.004845378,-0.000415884,0.963746017,0.266776993,-0.100937925,0.244191466,0.397881421,0.001474778,-0.010470769,1.280535733
97.552,2.240499508,3.17307588,-16.43744349,-0.005049019,-0.000794192,0.971861859,0.235496078,-0.111993492,0.234261947,0.394592103,0.010981146,-0.010283507,1.303694711
97.602,2.234637568,3.18451505,-16.41779472,-0.005124604,-0.001361934,0.978875339,0.204389222,-0.121841569,0.223684298,0.391718521,0.01639392,-0.004515806,1.223272646
97.652,2.228281305,3.195437369,-16.39825064,-0.004915316,-0.001831058,0.984361454,0.176082408,-0.132453882,0.21381648,0.390356492,0.00960159,0.01444423,1.093644305
97.702,2.221335172,3.205881841,-16.37875131,-0.004186874,-0.001901792,0.988638111,0.150244926,-0.145105693,0.204317159,0.389589582,-0.003756252,0.03738958,1.016729242
97.752,2.213762752,3.215851273,-16.35929189,-0.003150732,-0.001637743,0.992119685,0.125243447,-0.156836702,0.194858699,0.38887725,-0.012104159,0.040170621,1.015106746
97.802,2.205662574,3.22534048,-16.33985852,-0.002360131,-0.001264435,0.99503106,0.099528992,-0.166566437,0.184959204,0.388535173,-0.015715299,0.022172886,1.056861084
97.852,2.197115211,3.234313631,-16.32043013,-0.002157455,-0.000892763,0.997366235,0.07249236,-0.174638752,0.174305896,0.388698765,-0.016862147,-0.005259104,1.114132429
97.902,2.188197399,3.242738965,-16.30101608,-0.002613401,-0.000673194,0.999027513,0.044008465,-0.181907726,0.163049852,0.387380347,-0.005232338,-0.027961475,1.161853058
97.952,2.1789067,3.250589769,-16.28172689,-0.003389991,-0.00087461,0.999887979,0.014552403,-0.189402636,0.1514126,0.3841611,0.00994957,-0.032684773,1.192944945
98.002,2.16924863,3.257845393,-16.2626126,-0.004051311,-0.001361038,0.999878674,-0.014979056,-0.196568131,0.139088656,0.380587701,0.019321338,-0.020983631,1.152355337
98.052,2.159215039,3.264461204,-16.24366529,-0.0042266,-0.002011626,0.999075958,-0.042723747,-0.204873718,0.12601382,0.377574085,0.022041104,0.005974347,1.074030699
98.102,2.148711943,3.270406951,-16.2248618,-0.003621636,-0.00264927,0.997619191,-0.068817251,-0.215028812,0.112208298,0.374567427,0.017472313,0.037651674,1.026423487
98.152,2.137707957,3.27565689,-16.20621754,-0.002416402,-0.003161034,0.995529765,-0.094364488,-0.224268217,0.098513446,0.371350296,0.009777005,0.049532208,1.034815811
98.202,2.126315112,3.280240921,-16.18772581,-0.001272337,-0.003475254,0.992686087,-0.120667465,-0.230769495,0.085390586,0.368559894,0.003319791,0.033608948,1.083451798
98.252,2.114655656,3.284164007,-16.16935391,-0.000732387,-0.003567995,0.988947181,-0.148223499,-0.235045738,0.072067454,0.366530503,-0.002380656,0.001490561,1.139992394
98.302,2.102847248,3.287428247,-16.15107623,-0.001042482,-0.003461112,0.984183733,-0.177113846,-0.236796069,0.059126857,0.364556756,-0.000141136,-0.03326552,1.200164667
98.352,2.091016874,3.290067144,-16.1329046,-0.002100816,-0.003393636,0.978263417,-0.207327655,-0.236045192,0.04710743,0.362436458,0.008525673,-0.056307429,1.260077042
98.402,2.079269542,3.292106587,-16.11482364,-0.003486574,-0.00334728,0.971313382,-0.237753978,-0.233892706,0.034627904,0.361089987,0.003728266,-0.058479396,1.204618025
98.452,2.06763129,3.29348914,-16.0967716,-0.004585675,-0.00297492,0.964161378,-0.265260173,-0.231781952,0.02113315,0.361251786,-0.018711313,-0.041880585,1.077065155
98.502,2.056098422,3.294179991,-16.07868036,-0.004984443,-0.002117553,0.957062633,-0.28983062,-0.229585975,0.006870121,0.362394116,-0.044493685,-0.015638603,0.977276779
98.552,2.044665747,3.294123986,-16.060521,-0.004538572,-0.000935799,0.949997147,-0.312224192,-0.228043007,-0.008710126,0.364042757,-0.061706426,0.01448414,0.910432587
98.602,2.033288602,3.293287641,-16.04229155,-0.003346903,5.70E-05,0.942732817,-0.333532052,-0.226947013,-0.023716931,0.36470967,-0.042205283,0.046409093,0.902845217
98.652,2.021987771,3.291743105,-16.02405776,-0.001817978,-8.64E-05,0.934810205,-0.355143026,-0.225011326,-0.037435636,0.364772608,0.004633906,0.065904738,0.941505385
98.702,2.010802012,3.289522074,-16.00579815,-0.000548623,-0.001298086,0.925942224,-0.377662563,-0.222528409,-0.050898391,0.365766668,0.041749793,0.058165664,0.992208847
98.752,1.999741367,3.286626409,-15.98745906,9.36E-06,-0.002885296,0.916038435,-0.401080116,-0.21997511,-0.064392557,0.367899337,0.054197604,0.026227107,1.039290675
98.802,1.988825491,3.283060554,-15.968988,-0.000355394,-0.004039111,0.905038001,-0.425311388,-0.216513531,-0.077588029,0.370935112,0.042223273,-0.021480648,1.089318728
98.852,1.978126046,3.278864584,-15.95034864,-0.001622532,-0.004212127,0.892773343,-0.4504835,-0.211410135,-0.089476531,0.37458511,0.01709203,-0.069542463,1.149505157
