timestamp,thrust_0,thrust_1,thrust_2,thrust_3,thrust_4,thrust_5
42.002,-1.090615717,5.785069051,0.418970093,-4.633047727,-1.962612065,0.673620215
42.052,-1.811951705,5.788600073,1.075094079,-4.880109607,-2.105903467,0.622358648
42.102,-2.499877499,5.791350782,1.796348389,-5.076966716,-0.897951012,1.122064929
42.152,-3.112147738,5.793493489,2.485593637,-5.23297529,-0.331587147,1.785939179
42.202,-0.91276926,5.441680819,0.655005893,-3.962763978,-0.609925128,1.769727945
42.252,-0.055185746,5.415611051,0.009513346,-3.376756072,-1.006491291,1.660644232
42.302,0.033297006,5.490840601,-0.208670478,-2.56369801,-1.466096865,2.11967037
42.352,-0.041761495,5.558722482,-0.698105482,-2.961371163,-1.771910684,2.476702695
42.402,-0.262134148,5.611877805,-1.359439415,-3.4919273,-2.151147448,2.339020946
42.452,-0.843554162,5.653450416,-1.132858793,-3.951927701,-2.425857392,2.107521588
42.502,-1.557646832,5.685933465,-0.117784092,-4.330476255,-1.990610985,0.868484319
42.552,-2.264284577,5.711295743,0.070481785,-4.637280669,-2.008126138,0.731106681
42.602,-2.905898572,5.731086997,0.546897583,-4.883492796,-2.56683983,0.724339854
42.652,-3.460954578,5.746524153,1.229235396,-5.079654054,-2.962944362,0.354334374
42.702,-1.231473769,5.758561004,0.197979289,-5.235100038,-2.943741932,0.077242829
42.752,-0.272821953,5.767944036,-0.011797744,-5.35778423,-2.775156987,-0.000673111
42.802,-0.716732266,5.775256839,0.11756924,-5.454315016,-1.979913764,0.018627077
42.852,-1.421100306,5.780955265,0.639686683,-5.530090239,-1.699244781,0.16326578
42.902,-0.259990885,5.686822672,0.027525512,-4.563136349,-1.842787195,0.443813898
42.952,-6.92E-05,5.700640566,-0.162857977,-4.335319525,-1.872646984,0.703041368
43.002,-0.028988353,5.722773508,-0.5859494,-4.593164956,-1.695755099,1.126535082
43.052,-0.379879589,5.740040365,-0.2096494,-4.848214841,-1.395116472,1.50100647
43.102,-1.021739644,5.753505822,-0.026730208,-5.051621181,-0.595738077,2.097445577
43.152,-1.742365002,5.764003658,0.072147026,-5.212929343,-0.174576984,2.698471572
43.202,-0.878992474,5.772186009,-0.038978143,-5.304236175,-0.006370878,3.277505715
43.252,-0.873453656,5.77856245,-0.286840523,-5.406360123,0.078887359,3.611320422
43.302,-1.517995568,5.783530865,-0.018540615,-5.492465589,0.466283395,3.95802243
43.352,-2.226967769,5.78740175,0.167549656,-5.559995801,1.029267918,4.29384047
43.402,-2.872932355,5.790417295,0.724492558,-5.612874184,0.36378272,4.604918891
43.452,-3.432912652,5.792766347,1.429600238,-5.654229259,0.319215525,4.657468362
43.502,-3.593556727,5.794596122,0.294595032,-5.686541763,0.361324015,4.783553187
43.552,-3.835937171,5.796021351,0.004066224,-5.711770538,0.367462029,4.965585993
43.602,-1.503707183,5.797131443,-0.220474662,-2.713904064,0.069976854,5.143208792
43.652,-1.423041179,5.797996056,-0.807212134,-2.622120306,0.004187505,5.285311778
43.702,-2.059497394,5.798669463,-0.079072728,-3.160560171,0.076055164,5.386801735
43.752,-2.723883164,5.799193939,0.098450518,-3.676097986,0.305050708,5.353161494
43.802,-0.961829157,5.799602419,-0.045205987,-3.615165045,0.297583671,5.161862347
43.852,-0.361948767,5.799920552,-0.385343649,-4.016031529,0.465902335,4.795545246
43.902,-0.908600981,5.800168321,-0.014693719,-4.382682948,0.683386204,4.670579414
43.952,-1.625939543,5.800361288,0.185460869,-4.679323738,0.929284259,4.637739972
44.002,-2.328166675,5.800511572,0.316675397,-4.917075686,0.213606716,4.864567591
44.052,-2.962137259,5.800628615,0.671344692,-5.106317747,0.031528545,4.853877941
44.102,-1.583757416,5.800719769,0.170449356,-5.245788877,0.003255299,4.196074353
44.152,-0.505108145,5.800790761,-0.007683358,-5.363948023,0.02130047,3.466195268
44.202,-0.948361917,5.800846049,0.009519013,-5.459158115,-0.04612456,3.199781564
44.252,-1.6671779,5.800846049,0.009519013,-5.459158115,-0.04612456,3.199781564
44.302,-2.366513732,5.800922642,0.907949733,-5.592439519,-0.397367449,3.433952469
44.352,-2.995781022,5.800948759,1.597745198,-5.638252941,-0.159271877,3.90440242
44.402,-3.537181928,5.800969099,2.301851526,-5.674061921,-0.287206765,3.614036587
44.452,-3.989956805,5.800984939,2.93900012,-5.702028498,-0.504420124,3.216644407
44.502,-1.293065119,4.927607229,0.77116168,-2.49772173,-0.839937284,2.932060532
44.552,-0.134752906,5.001749007,0.022844563,-2.289778239,-1.193323302,2.848308257
44.602,0.060411163,5.109745425,-0.172270524,-0.979956667,-1.533165209,3.22437249
44.652,0.006277816,5.254237161,-0.6332801,-1.561484043,-1.606890008,3.446403844
44.702,-0.197721008,5.372858697,-0.075981817,-2.267886866,-1.511620199,3.54828321
44.752,-0.772757534,5.466158411,0.095540168,-2.909076365,-0.670695213,3.379291979
44.802,-1.482022735,5.539376594,0.598286846,-3.463655274,-0.843498354,3.42109492
44.852,-2.192962098,5.596736379,1.288589817,-3.9290544,-0.863311476,3.310912574
44.902,-2.192962098,5.596736379,1.288589817,-3.9290544,-0.863311476,3.310912574
44.952,-3.407254096,5.676686848,1.086429189,-4.622242808,-0.000106017,4.116829579
45.002,-3.882219447,5.704077772,1.425016889,-4.871472061,-0.05961391,4.346347779
45.052,-4.273582013,5.725455509,1.870550098,-5.070104733,-0.1434113,4.325515319
45.102,-1.41960649,5.73337036,0.40566725,-2.565429601,-0.259841392,4.468122193
45.152,-0.210358299,5.747251552,-0.001349251,-2.371353435,-0.286215766,4.567199981
45.202,-0.613615737,5.759128092,0.152028001,-2.934639156,-0.074693066,4.807242212
45.252,-1.306058038,5.768386041,0.69960922,-3.485364903,0.006038186,4.946386516
45.302,-2.024365932,5.77560129,1.378965907,-3.947054424,0.333417839,5.123451552
45.352,-2.69237386,5.781223655,2.092507795,-4.326503012,0.965235282,5.26971023
45.402,-3.278481624,5.785604252,1.241023983,-4.634078385,1.074359093,5.385042344
45.452,-3.774890535,5.789017013,1.112761638,-4.880933397,1.094486701,5.475727841
45.502,-4.185723705,5.791675571,1.602417176,-5.07762109,1.483041336,5.546878278
45.552,-4.520376846,5.793746481,2.279886806,-5.233492683,2.011039402,5.60260842
45.602,-4.789918517,5.795359564,2.344310067,-5.356517816,1.053702238,5.521569538
45.652,-5.005244118,5.79661599,2.437955472,-5.453319873,0.733387477,5.022059488
